z(nm),RMSE_z(FD_DeepLoc)-topleft,RMSE_z(FD_DeepLoc)-topright,RMSE_z(FD_DeepLoc)-bottomleft,RMSE_z(FD_DeepLoc)-bottomright,RMSE_z(FD_DeepLoc)-center,CRLB-topleft,CRLB-topright,CRLB-bottomleft,CRLB-bottomright,CRLB-center
-600,15.62064,13.02682599,15.39039197,13.38515711,10.93202336,,,,,
-550,17.97072532,12.37606727,15.73584593,12.89034596,9.964847837,,,,,
-500,16.18857846,12.04557647,15.73129681,11.98739798,8.885325429,,,,,
-450,15.92678369,11.74314681,15.65685791,11.82723199,8.52810045,,,,,
-400,15.25808789,12.4993206,14.91623406,12.03524756,8.306588371,,,,,
-350,15.6387104,12.93238571,15.53097005,12.78444177,8.215506114,,,,,
-300,17.7887683,15.16883698,16.53960826,14.33098018,8.450802046,,,,,
-250,21.31218274,16.23951866,18.10025394,15.34738164,8.856265261,,,,,
-200,25.15166559,16.40954819,20.56020216,15.63664244,9.494251783,,,,,
-150,25.31234714,15.67905242,22.72404677,15.83848375,10.12764415,,,,,
-100,25.94686947,14.27498928,23.71954941,14.30833699,10.85951554,,,,,
-50,26.46142611,13.64089136,25.07814713,12.36191052,10.9157609,,,,,
0,25.16231901,13.5502889,26.4372659,12.04847083,11.45518478,,,,,
50,23.01730105,14.96035762,28.20469603,12.67851792,12.14620738,,,,,
100,21.1613864,17.55053532,29.23060708,13.40645131,13.43761374,,,,,
150,20.9333393,20.85422752,27.78234313,15.09739349,14.83288612,,,,,
200,20.06964298,24.44577576,23.22497608,15.8964424,15.81753074,,,,,
250,19.11421912,27.62451856,17.96231021,14.8879653,16.16199444,,,,,
300,18.33369119,29.27603055,16.13742399,15.13210118,16.70152532,,,,,
350,17.31421401,32.6385205,16.20675462,15.34292555,17.1883246,,,,,
400,18.71202588,39.20108191,17.10401764,16.12065024,17.61945788,,,,,
450,21.13176057,46.73264718,16.9356275,18.48171857,21.56845268,,,,,
500,22.59802709,52.88226721,17.5191431,22.22882034,25.66588396,,,,,
550,24.90961171,49.39009804,20.54391552,25.84465732,31.47761548,,,,,
600,17.97966222,27.27694815,16.63914702,20.10356768,24.70121452,,,,,
-600,,,,,,20.48077039,15.20528835,22.83855881,17.08793525,12.38648316
-587.8787879,,,,,,20.07340871,14.91905815,22.27192445,16.67240797,12.01581763
-575.7575758,,,,,,19.69003996,14.64661477,21.73627138,16.28447471,11.66484808
-563.6363636,,,,,,19.33367173,14.38926602,21.23509272,15.92827674,11.33570878
-551.5151515,,,,,,19.00731157,14.14831973,20.77188161,15.60795532,11.03053397
-539.3939394,,,,,,18.70644928,13.91857691,20.34241206,15.31358737,10.7450703
-527.2727273,,,,,,18.4238002,13.69629047,19.93840454,15.03447785,10.47395999
-515.1515152,,,,,,18.16506951,13.49166202,19.56407111,14.78733598,10.22376204
-503.030303,,,,,,17.93612325,13.3150495,19.22378365,14.58919156,10.00117769
-490.9090909,,,,,,17.73197845,13.16234139,18.91387208,14.43450592,9.804331311
-478.7878788,,,,,,17.53727108,13.01379367,18.62190382,14.28835856,9.620079783
-466.6666667,,,,,,17.36691735,12.88836984,18.35688985,14.17150886,9.456345434
-454.5454545,,,,,,17.23714686,12.80674863,18.12879298,14.10728947,9.322026465
-442.4242424,,,,,,17.1516923,12.77549208,17.93401558,14.10576965,9.216419877
-430.3030303,,,,,,17.0768039,12.75365139,17.74115739,14.12830958,9.115598466
-418.1818182,,,,,,17.01757569,12.73785407,17.57665461,14.16661328,9.03227126
-406.0606061,,,,,,16.98344131,12.72935441,17.47233773,14.2165151,8.982778134
-393.9393939,,,,,,16.98617759,12.73690532,17.44623982,14.28427655,8.976049134
-381.8181818,,,,,,17.04005026,12.79823826,17.43555869,14.4192593,8.97779087
-369.6969697,,,,,,17.13325559,12.90034627,17.42804869,14.60463407,8.981154615
-357.5757576,,,,,,17.25062136,13.02177767,17.42394508,14.81214049,8.986015435
-345.4545455,,,,,,17.38338165,13.14587812,17.43167393,15.02041373,8.995377381
-333.3333333,,,,,,17.58084948,13.30230444,17.52556935,15.2697974,9.036970859
-321.2121212,,,,,,17.8384542,13.48590618,17.69464904,15.54105012,9.105046598
-309.0909091,,,,,,18.13332911,13.67841411,17.90281289,15.79507047,9.184166777
-296.969697,,,,,,18.44542281,13.86391449,18.11749572,15.99643092,9.259999155
-284.8484848,,,,,,18.81188965,14.07091228,18.38287663,16.18755583,9.343312927
-272.7272727,,,,,,19.22853053,14.2847739,18.70340728,16.36484391,9.435177489
-260.6060606,,,,,,19.6651181,14.46784922,19.05262882,16.49188057,9.527390294
-248.4848485,,,,,,20.09248125,14.58326672,19.40486369,16.53209572,9.611925174
-236.3636364,,,,,,20.55458246,14.66034764,19.79083574,16.45273013,9.69443081
-224.2424242,,,,,,21.03903612,14.72539851,20.20682547,16.27502327,9.775734044
-212.1212121,,,,,,21.47673764,14.770348,20.60855617,16.03738006,9.848075616
-200,,,,,,21.79858237,14.7871248,20.95175115,15.77820541,9.903696264
-187.8787879,,,,,,22.03917557,14.72984007,21.27244922,15.44463981,9.947271337
-175.7575758,,,,,,22.25690059,14.58526051,21.59164395,15.00175173,9.986170467
-163.6363636,,,,,,22.41831995,14.39429799,21.84249083,14.51483812,10.01667582
-151.5151515,,,,,,22.48999616,14.19786441,21.95814535,14.0491959,10.03506955
-139.3939394,,,,,,22.43574025,13.99347031,21.95406285,13.61572247,10.04252498
-127.2727273,,,,,,22.26890363,13.74866949,21.93544774,13.17273442,10.04678176
-115.1515152,,,,,,22.04309335,13.49621928,21.90699591,12.7497184,10.05047166
-103.030303,,,,,,21.81220004,13.26974379,21.87190609,12.37718067,10.05614295
-90.90909091,,,,,,21.57687507,13.07148067,21.80772466,12.05798695,10.0670772
-78.78787879,,,,,,21.27780334,12.86379836,21.68211637,11.75358851,10.08602884
-66.66666667,,,,,,20.99579249,12.68743237,21.54810965,11.48853298,10.11255202
-54.54545455,,,,,,20.81791118,12.58671713,21.46213771,11.29040882,10.14608703
-42.42424242,,,,,,20.7847606,12.57794448,21.46745561,11.16627428,10.19168613
-30.3030303,,,,,,20.77049683,12.58046713,21.53967831,11.0598719,10.26705218
-18.18181818,,,,,,20.76070858,12.58516283,21.66111254,10.97663765,10.3673475
-6.060606061,,,,,,20.75567886,12.59196397,21.81714399,10.92904408,10.48556294
6.060606061,,,,,,20.78650499,12.61923649,22.02011216,10.9319819,10.61980467
18.18181818,,,,,,21.00681558,12.7611743,22.39584924,11.00042384,10.79332836
30.3030303,,,,,,21.36710467,12.99438668,22.90232216,11.11857197,11.00314934
42.42424242,,,,,,21.78354749,13.27523393,23.46818001,11.26687595,11.24112021
54.54545455,,,,,,22.19260457,13.56987864,24.04735359,11.43342573,11.50224559
66.66666667,,,,,,22.71312221,13.94274642,24.79610464,11.67660547,11.8102955
78.78787879,,,,,,23.29033445,14.39429555,25.60519185,11.99255675,12.16290013
90.90909091,,,,,,23.81122683,14.89893046,26.28761791,12.35581288,12.54872666
103.030303,,,,,,24.17149671,15.43456033,26.67047924,12.74414893,12.95830501
115.1515152,,,,,,24.46776132,16.04868349,26.91939295,13.20173404,13.41793596
127.2727273,,,,,,24.72795415,16.73328993,27.12228594,13.72642075,13.9214044
139.3939394,,,,,,24.90807219,17.44738298,27.25556005,14.28627986,14.44452565
151.5151515,,,,,,24.96292907,18.15110549,27.29163524,14.85051073,14.96386614
163.6363636,,,,,,24.78771327,18.88718315,26.94812911,15.46675334,15.50921626
175.7575758,,,,,,24.41068957,19.64912222,26.22056996,16.12339396,16.07412778
187.8787879,,,,,,23.93715949,20.37147369,25.33093336,16.74840215,16.61255994
200,,,,,,23.47242453,20.98878851,24.50119489,17.26974745,17.07847194
212.1212121,,,,,,22.98731254,21.52328815,23.71599116,17.74068973,17.49698143
224.2424242,,,,,,22.43111882,22.01971438,22.87079053,18.201255,17.89570531
236.3636364,,,,,,21.87684609,22.44639859,22.05381626,18.55956195,18.23235174
248.4848485,,,,,,21.3974971,22.77167222,21.35329158,18.72372929,18.46462884
260.6060606,,,,,,20.99427209,22.99421442,20.7696864,18.71858929,18.60073773
272.7272727,,,,,,20.60740744,23.16570975,20.22392958,18.69444919,18.70706766
284.8484848,,,,,,20.27700294,23.31476253,19.755463,18.65781428,18.79053796
296.969697,,,,,,20.04454166,23.46951345,19.40539669,18.61305857,18.85716329
309.0909091,,,,,,19.90935463,23.63862875,19.16605129,18.53467097,18.90818525
321.2121212,,,,,,19.79492864,23.79900293,18.9525457,18.38539063,18.94259479
333.3333333,,,,,,19.70906298,23.96955193,18.78752471,18.22718279,18.97487935
345.4545455,,,,,,19.66393526,24.17128122,18.69891683,18.12597444,19.02015148
357.5757576,,,,,,19.67829071,24.42872835,18.70250751,18.12135687,19.10142101
369.6969697,,,,,,19.77193697,24.76052459,18.76193488,18.14933263,19.25026277
381.8181818,,,,,,19.9215514,25.15421021,18.85941165,18.19777816,19.45527249
393.9393939,,,,,,20.10053823,25.5952202,18.98052974,18.26240505,19.70149826
406.0606061,,,,,,20.29605842,26.07919947,19.12427387,18.35667861,19.98731609
418.1818182,,,,,,20.56411616,26.64917055,19.35058281,18.56818035,20.37529894
430.3030303,,,,,,20.89202468,27.29139502,19.64308245,18.87293081,20.85758036
442.4242424,,,,,,21.25334714,27.98151662,19.97133808,19.22756879,21.41269457
454.5454545,,,,,,21.62681397,28.7013118,20.31042908,19.5977026,22.02728611
466.6666667,,,,,,22.0426566,29.48871913,20.69263322,20.03949463,22.76457181
478.7878788,,,,,,22.49679838,30.3312019,21.11802696,20.55183281,23.62554078
490.9090909,,,,,,22.97136661,31.19882486,21.57242801,21.10989691,24.58864838
503.030303,,,,,,23.44975856,32.06432589,22.04289891,21.69129634,25.63641418
515.1515152,,,,,,23.94413071,32.95613074,22.54372497,22.32530739,26.83335697
527.2727273,,,,,,24.455312,33.86680419,23.07568992,23.01121982,28.18285535
539.3939394,,,,,,24.97345379,34.76469173,23.62876322,23.72668879,29.65050445
551.5151515,,,,,,25.48881684,35.61853052,24.19305013,24.44964183,31.20270096
563.6363636,,,,,,26.00216023,36.43362017,24.7710654,25.1835281,32.87203508
575.7575758,,,,,,26.51757685,37.22398307,25.36750577,25.93815747,34.6818856
587.8787879,,,,,,27.03505435,37.98832377,25.9815939,26.71274361,36.61906315
600,,,,,,27.55458038,38.72534677,26.61255245,27.50650019,38.67037837